STOCK,DATE,TRADING,DELIVERY,DELIVERY PERCENTAGE
AARTIIND,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
ABBOTINDIA,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
AFFLE,01-Apr-2022,HIGH TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
ALKYLAMINE,01-Apr-2022,HIGH TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
AMBER,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
APOLLOHOSP,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
ASHOKLEY,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
ASIANPAINT,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
ASTRAL,01-Apr-2022,HIGH TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
ATUL,01-Apr-2022,HIGH TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
BAJAJ-AUTO,01-Apr-2022,HIGH TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
BAJAJELEC,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
BAJAJFINSV,01-Apr-2022,HIGH TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
BAJFINANCE,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
BATAINDIA,01-Apr-2022,HIGH TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
BERGEPAINT,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
BIOCON,01-Apr-2022,HIGH TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
BRITANNIA,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
ZYDUSLIFE,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
CAMS,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
CDSL,01-Apr-2022,HIGH TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
CIPLA,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
DABUR,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
DEEPAKNTR,01-Apr-2022,HIGH TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
DIVISLAB,01-Apr-2022,HIGH TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
DIXON,01-Apr-2022,HIGH TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
DRREDDY,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
EICHERMOT,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
ERIS,01-Apr-2022,ABNOMALLY HIGH TRADING,ABNOMALLY HIGH DELIVERY,NORMAL DELIVERY PERCENTAGE
EXIDEIND,01-Apr-2022,HIGH TRADING,ABNOMALLY HIGH DELIVERY,NORMAL DELIVERY PERCENTAGE
HAPPSTMNDS,01-Apr-2022,HIGH TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
HAVELLS,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
HCLTECH,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
HDFC,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
HDFCAMC,01-Apr-2022,ABNOMALLY HIGH TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
HDFCBANK,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
HDFCLIFE,01-Apr-2022,NORMAL TRADING,NORMAL DELIVERY,NORMAL DELIVERY PERCENTAGE
