STOCK,DATE,TRADING,DELIVERY
AARTIIND,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
ABBOTINDIA,28-May-2021,ABNOMALLY HIGH TRADING,ABNOMALLY HIGH DELIVERY
AFFLE,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
ALKYLAMINE,28-May-2021,HIGH TRADING,NORMAL DELIVERY
AMBER,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
APOLLOHOSP,28-May-2021,HIGH TRADING,NORMAL DELIVERY
ASHOKLEY,28-May-2021,HIGH TRADING,NORMAL DELIVERY
ASIANPAINT,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
ASTRAL,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
ATUL,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
BAJAJ-AUTO,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
BAJAJELEC,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
BAJAJFINSV,28-May-2021,HIGH TRADING,NORMAL DELIVERY
BAJFINANCE,28-May-2021,HIGH TRADING,NORMAL DELIVERY
BALKRISNIND,NSE DATA ERROR,NSE DATA ERROR,NSE DATA ERROR
BATAINDIA,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
BERGEPAINT,28-May-2021,HIGH TRADING,NORMAL DELIVERY
BIOCON,28-May-2021,HIGH TRADING,NORMAL DELIVERY
BRITANNIA,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
CADILAHC,28-May-2021,HIGH TRADING,NORMAL DELIVERY
CAMS,28-May-2021,HIGH TRADING,NORMAL DELIVERY
CDSL,28-May-2021,ABNOMALLY HIGH TRADING,ABNOMALLY HIGH DELIVERY
CIPLA,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
DABUR,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
DEEPAKNTR,28-May-2021,HIGH TRADING,NORMAL DELIVERY
DIVISLAB,28-May-2021,HIGH TRADING,NORMAL DELIVERY
DIXON,28-May-2021,ABNOMALLY HIGH TRADING,NORMAL DELIVERY
DRREDDY,28-May-2021,HIGH TRADING,NORMAL DELIVERY
EICHERMOT,28-May-2021,ABNOMALLY HIGH TRADING,NORMAL DELIVERY
ERIS,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
EXIDEIND,28-May-2021,HIGH TRADING,NORMAL DELIVERY
GLAND,NSE DATA ERROR,NSE DATA ERROR,NSE DATA ERROR
HAPPSTMNDS,28-May-2021,HIGH TRADING,NORMAL DELIVERY
HAVELLS,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
HCLTECH,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
HDFC,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
HDFCAMC,28-May-2021,ABNOMALLY HIGH TRADING,NORMAL DELIVERY
HDFCBANK,28-May-2021,HIGH TRADING,NORMAL DELIVERY
HDFCLIFE,28-May-2021,HIGH TRADING,NORMAL DELIVERY
HEROMOTOCO,28-May-2021,HIGH TRADING,NORMAL DELIVERY
HINDUNILVR,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
ICICIBANK,28-May-2021,HIGH TRADING,NORMAL DELIVERY
ICICIGI,28-May-2021,ABNOMALLY HIGH TRADING,ABNOMALLY HIGH DELIVERY
ICICIPRULI,28-May-2021,HIGH TRADING,NORMAL DELIVERY
IDFCFIRSTB,28-May-2021,HIGH TRADING,NORMAL DELIVERY
INDIGO,28-May-2021,ABNOMALLY HIGH TRADING,NORMAL DELIVERY
INFY,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
ITC,28-May-2021,HIGH TRADING,NORMAL DELIVERY
JUBLFOOD,28-May-2021,HIGH TRADING,NORMAL DELIVERY
JYOTHYLAB,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
KOTAKBANK,28-May-2021,HIGH TRADING,NORMAL DELIVERY
LAURUSLABS,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
LT,28-May-2021,HIGH TRADING,NORMAL DELIVERY
LTI,28-May-2021,HIGH TRADING,NORMAL DELIVERY
LTTS,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
M&M,28-May-2021,ABNOMALLY HIGH TRADING,NORMAL DELIVERY
MARICO,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
MARUTI,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
MINDAIND,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
MOTHERSUMI,28-May-2021,HIGH TRADING,NORMAL DELIVERY
MUTHOOTFIN,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
NAUKRI,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
NAVINFLOUR,NSE DATA ERROR,NSE DATA ERROR,NSE DATA ERROR
NESTLEIND,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
PGHH,28-May-2021,HIGH TRADING,ABNOMALLY HIGH DELIVERY
PIDILITIND,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
PIIND,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
POLYCAB,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
PRINCEPIPE,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
RELAXO,28-May-2021,HIGH TRADING,NORMAL DELIVERY
RELIANCE,28-May-2021,ABNOMALLY HIGH TRADING,ABNOMALLY HIGH DELIVERY
SBILIFE,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
SBIN,28-May-2021,HIGH TRADING,NORMAL DELIVERY
SUNPHARMA,28-May-2021,ABNOMALLY HIGH TRADING,ABNOMALLY HIGH DELIVERY
TATACHEM,28-May-2021,HIGH TRADING,NORMAL DELIVERY
TATACONSUM,28-May-2021,HIGH TRADING,NORMAL DELIVERY
TATAELXSI,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
TATAINVEST,28-May-2021,HIGH TRADING,NORMAL DELIVERY
TATAMOTORS,28-May-2021,HIGH TRADING,NORMAL DELIVERY
TATAPOWER,28-May-2021,HIGH TRADING,NORMAL DELIVERY
TCS,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
TECHM,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
TITAN,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
TRENT,28-May-2021,HIGH TRADING,NORMAL DELIVERY
TRIDENT,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
TVSMOTOR,28-May-2021,HIGH TRADING,HIGH DELIVERY
ULTRACEMCO,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
VBL,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
VOLTAS,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
WIPRO,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
YESBANK,28-May-2021,NORMAL TRADING,NORMAL DELIVERY
